timestamp,charge_point_id,scenario,mode,step,message_type,transaction_id,connector_id,id_tag,power_kw,current_a,voltage_v,soc_percent,label,raw_payload
2025-12-15T17:27:56.693084,CP_003,sfed,attack,1,BootNotification,,,,,,,,attack_meta,"{""cp_id"": ""CP_003"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-15T17:27:56.693084""}"
2025-12-15T17:27:56.694739,CP_005,sfed,attack,2,BootNotification,,,,,,,,attack_meta,"{""cp_id"": ""CP_005"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-15T17:27:56.694739""}"
2025-12-15T17:27:56.714505,CP_004,sfed,attack,3,BootNotification,,,,,,,,attack_meta,"{""cp_id"": ""CP_004"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-15T17:27:56.714505""}"
2025-12-15T17:27:56.715142,CP_002,sfed,attack,4,BootNotification,,,,,,,,attack_meta,"{""cp_id"": ""CP_002"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-15T17:27:56.715142""}"
2025-12-15T17:27:56.718019,CP_001,sfed,attack,5,BootNotification,,,,,,,,attack_meta,"{""cp_id"": ""CP_001"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-15T17:27:56.718019""}"
2025-12-15T17:27:59.280189,CP_007,sfed,attack,6,BootNotification,,,,,,,,attack_meta,"{""cp_id"": ""CP_007"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-15T17:27:59.280189""}"
2025-12-15T17:27:59.280460,CP_009,sfed,attack,7,BootNotification,,,,,,,,attack_meta,"{""cp_id"": ""CP_009"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-15T17:27:59.280460""}"
2025-12-15T17:27:59.280671,CP_010,sfed,attack,8,BootNotification,,,,,,,,attack_meta,"{""cp_id"": ""CP_010"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-15T17:27:59.280671""}"
2025-12-15T17:27:59.281209,CP_008,sfed,attack,9,BootNotification,,,,,,,,attack_meta,"{""cp_id"": ""CP_008"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-15T17:27:59.281209""}"
2025-12-15T17:27:59.282494,CP_006,sfed,attack,10,BootNotification,,,,,,,,attack_meta,"{""cp_id"": ""CP_006"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-15T17:27:59.282494""}"
2025-12-15T17:27:59+00:00,CP_001,sfed,attack,11,StatusNotification,,1,,,,,,attack_meta,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""status"": ""Available"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-15T17:27:59+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
2025-12-15T17:27:59+00:00,CP_002,sfed,attack,12,StatusNotification,,1,,,,,,attack_meta,"{""cp_id"": ""CP_002"", ""connector_id"": 1, ""status"": ""Available"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-15T17:27:59+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
2025-12-15T17:27:59+00:00,CP_003,sfed,attack,13,StatusNotification,,1,,,,,,attack_meta,"{""cp_id"": ""CP_003"", ""connector_id"": 1, ""status"": ""Available"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-15T17:27:59+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
2025-12-15T17:27:59+00:00,CP_004,sfed,attack,14,StatusNotification,,1,,,,,,attack_meta,"{""cp_id"": ""CP_004"", ""connector_id"": 1, ""status"": ""Available"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-15T17:27:59+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
2025-12-15T17:27:59+00:00,CP_005,sfed,attack,15,StatusNotification,,1,,,,,,attack_meta,"{""cp_id"": ""CP_005"", ""connector_id"": 1, ""status"": ""Available"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-15T17:27:59+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
2025-12-15T17:27:59+00:00,CP_006,sfed,attack,16,StatusNotification,,1,,,,,,attack_meta,"{""cp_id"": ""CP_006"", ""connector_id"": 1, ""status"": ""Available"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-15T17:27:59+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
2025-12-15T17:27:59+00:00,CP_007,sfed,attack,17,StatusNotification,,1,,,,,,attack_meta,"{""cp_id"": ""CP_007"", ""connector_id"": 1, ""status"": ""Available"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-15T17:27:59+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
2025-12-15T17:28:00+00:00,CP_008,sfed,attack,18,StatusNotification,,1,,,,,,attack_meta,"{""cp_id"": ""CP_008"", ""connector_id"": 1, ""status"": ""Available"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-15T17:28:00+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
2025-12-15T17:28:00+00:00,CP_009,sfed,attack,19,StatusNotification,,1,,,,,,attack_meta,"{""cp_id"": ""CP_009"", ""connector_id"": 1, ""status"": ""Available"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-15T17:28:00+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
2025-12-15T17:28:00+00:00,CP_010,sfed,attack,20,StatusNotification,,1,,,,,,attack_meta,"{""cp_id"": ""CP_010"", ""connector_id"": 1, ""status"": ""Available"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-15T17:28:00+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
2025-12-15T17:28:00.392114,CP_001,sfed,attack,21,Authorize,,,YUNUS_TAG,,,,,attack_meta,"{""cp_id"": ""CP_001"", ""id_tag"": ""YUNUS_TAG"", ""status"": ""Accepted"", ""authorized"": true, ""timestamp"": ""2025-12-15T17:28:00.392114"", ""message_type"": ""Authorize""}"
2025-12-15T17:28:00+00:00,CP_001,sfed,attack,22,StatusNotification,,1,,,,,,attack_meta,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""status"": ""Preparing"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-15T17:28:00+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
2025-12-15T17:28:00+00:00,CP_001,sfed,attack,23,StartTransaction,1,1,YUNUS_TAG,,,,,attack_meta,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""id_tag"": ""YUNUS_TAG"", ""meter_start"": 0, ""timestamp"": ""2025-12-15T17:28:00+00:00"", ""transaction_id"": 1, ""authorized"": true, ""payload"": {}, ""message_type"": ""StartTransaction""}"
2025-12-15T17:28:00+00:00,CP_001,sfed,attack,24,StatusNotification,,1,,,,,,attack_meta,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""status"": ""Charging"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-15T17:28:00+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
2025-12-15T17:28:00.515342,CP_002,sfed,attack,25,Authorize,,,YUNUS_TAG,,,,,attack_meta,"{""cp_id"": ""CP_002"", ""id_tag"": ""YUNUS_TAG"", ""status"": ""Accepted"", ""authorized"": true, ""timestamp"": ""2025-12-15T17:28:00.515342"", ""message_type"": ""Authorize""}"
2025-12-15T17:28:00+00:00,CP_002,sfed,attack,26,StatusNotification,,1,,,,,,attack_meta,"{""cp_id"": ""CP_002"", ""connector_id"": 1, ""status"": ""Preparing"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-15T17:28:00+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
