timestamp,charge_point_id,scenario,mode,step,message_type,transaction_id,connector_id,id_tag,power_kw,current_a,voltage_v,soc_percent,label,raw_payload
2025-12-11T19:19:11.750865,CP_005,sfed,normal,1,BootNotification,,,,,,,,normal,"{""cp_id"": ""CP_005"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-11T19:19:11.750865""}"
2025-12-11T19:19:11.751385,CP_004,sfed,normal,2,BootNotification,,,,,,,,normal,"{""cp_id"": ""CP_004"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-11T19:19:11.751385""}"
2025-12-11T19:19:11.770215,CP_003,sfed,normal,3,BootNotification,,,,,,,,normal,"{""cp_id"": ""CP_003"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-11T19:19:11.770215""}"
2025-12-11T19:19:11.770934,CP_001,sfed,normal,4,BootNotification,,,,,,,,normal,"{""cp_id"": ""CP_001"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-11T19:19:11.770934""}"
2025-12-11T19:19:11.771369,CP_002,sfed,normal,5,BootNotification,,,,,,,,normal,"{""cp_id"": ""CP_002"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-11T19:19:11.771369""}"
2025-12-11T19:19:14.292309,CP_007,sfed,normal,6,BootNotification,,,,,,,,normal,"{""cp_id"": ""CP_007"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-11T19:19:14.292309""}"
2025-12-11T19:19:14.315056,CP_006,sfed,normal,7,BootNotification,,,,,,,,normal,"{""cp_id"": ""CP_006"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-11T19:19:14.315056""}"
2025-12-11T19:19:14.315645,CP_008,sfed,normal,8,BootNotification,,,,,,,,normal,"{""cp_id"": ""CP_008"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-11T19:19:14.315645""}"
2025-12-11T19:19:14.316878,CP_010,sfed,normal,9,BootNotification,,,,,,,,normal,"{""cp_id"": ""CP_010"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-11T19:19:14.316878""}"
2025-12-11T19:19:14.318121,CP_009,sfed,normal,10,BootNotification,,,,,,,,normal,"{""cp_id"": ""CP_009"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-11T19:19:14.318121""}"
2025-12-11T19:19:14+00:00,CP_001,sfed,normal,11,StatusNotification,,1,,,,,,normal,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""status"": ""Available"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-11T19:19:14+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
2025-12-11T19:19:14+00:00,CP_002,sfed,normal,12,StatusNotification,,1,,,,,,normal,"{""cp_id"": ""CP_002"", ""connector_id"": 1, ""status"": ""Available"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-11T19:19:14+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
2025-12-11T19:19:14+00:00,CP_003,sfed,normal,13,StatusNotification,,1,,,,,,normal,"{""cp_id"": ""CP_003"", ""connector_id"": 1, ""status"": ""Available"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-11T19:19:14+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
2025-12-11T19:19:14+00:00,CP_004,sfed,normal,14,StatusNotification,,1,,,,,,normal,"{""cp_id"": ""CP_004"", ""connector_id"": 1, ""status"": ""Available"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-11T19:19:14+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
